Year,Reference area,GeoCode,Value,M49_country_code
2007,,,12.682241,KGZ
2008,,,11.85677,KGZ
2009,,,11.505973,KGZ
2010,,,10.442468,KGZ
2011,,,11.743119,KGZ
2012,,,11.831386,KGZ
2013,,,12.209281,KGZ
2014,,,11.581086,KGZ
2015,,,10.209622,KGZ
2016,,,10.170663,KGZ
2017,,,9.727135,KGZ
2018,,,20.734908,KGZ
2019,,,8.555572,KGZ
2020,,,4.46317,KGZ
2007,Batken,KG05,14.521452,KGZ
2008,Batken,KG05,16.4,KGZ
2009,Batken,KG05,14.425428,KGZ
2010,Batken,KG05,14.469914,KGZ
2011,Batken,KG05,13.604488,KGZ
2012,Batken,KG05,11.659808,KGZ
2013,Batken,KG05,10.513141,KGZ
2014,Batken,KG05,10.607867,KGZ
2015,Batken,KG05,9.737418,KGZ
2016,Batken,KG05,9.543011,KGZ
2017,Batken,KG05,7.394366,KGZ
2018,Batken,KG05,16.6215,KGZ
2019,Batken,KG05,7.560756,KGZ
2020,Batken,KG05,22.107244,KGZ
2007,Jalal-Abad,KG03,11.271676,KGZ
2008,Jalal-Abad,KG03,11.738535,KGZ
2009,Jalal-Abad,KG03,10.985825,KGZ
2010,Jalal-Abad,KG03,9.550419,KGZ
2011,Jalal-Abad,KG03,13.407222,KGZ
2012,Jalal-Abad,KG03,13.228863,KGZ
2013,Jalal-Abad,KG03,14.223455,KGZ
2014,Jalal-Abad,KG03,13.31045,KGZ
2015,Jalal-Abad,KG03,12.970219,KGZ
2016,Jalal-Abad,KG03,11.583637,KGZ
2017,Jalal-Abad,KG03,10.880196,KGZ
2018,Jalal-Abad,KG03,14.846672,KGZ
2019,Jalal-Abad,KG03,18.242711,KGZ
2020,Jalal-Abad,KG03,4.846939,KGZ
2007,Issyk-Kul,KG02,8.540686,KGZ
2008,Issyk-Kul,KG02,8.259986,KGZ
2009,Issyk-Kul,KG02,9.315589,KGZ
2010,Issyk-Kul,KG02,8.22112,KGZ
2011,Issyk-Kul,KG02,8.420239,KGZ
2012,Issyk-Kul,KG02,8.84919,KGZ
2013,Issyk-Kul,KG02,9.235528,KGZ
2014,Issyk-Kul,KG02,9.274194,KGZ
2015,Issyk-Kul,KG02,9.147425,KGZ
2016,Issyk-Kul,KG02,10.567515,KGZ
