Year,SERIES,Value,M49_country_code
2016,Number of firearms voluntarily surrendered,153,KGZ
2017,Number of firearms voluntarily surrendered,196,KGZ
2018,Number of firearms voluntarily surrendered,232,KGZ
2019,Number of firearms voluntarily surrendered,146,KGZ
2020,Number of firearms voluntarily surrendered,158,KGZ
2021,Number of firearms voluntarily surrendered,149,KGZ
2016,Number of firearms seized,217,KGZ
2017,Number of firearms seized,399,KGZ
2018,Number of firearms seized,296,KGZ
2019,Number of firearms seized,127,KGZ
2020,Number of firearms seized,397,KGZ
2021,Number of firearms seized,159,KGZ
