Year,COMPOSITE_BREAKDOWN,Value,M49_country_code
2007,,25.4,KGZ
2008,,24.8,KGZ
2009,,27.6,KGZ
2010,,26.3,KGZ
2011,,27.2,KGZ
2012,,28.0,KGZ
2013,,28.7,KGZ
2014,,29.8,KGZ
2015,,29.8,KGZ
2016,,27.4,KGZ
2017,,28.2,KGZ
2018,,26.6,KGZ
2019,,27.0,KGZ
2020,,25.3,KGZ
2007,Income: Tax revenues,18.7,KGZ
2008,Income: Tax revenues,19.1,KGZ
2009,Income: Tax revenues,17.9,KGZ
2010,Income: Tax revenues,17.9,KGZ
2011,Income: Tax revenues,18.5,KGZ
2012,Income: Tax revenues,20.6,KGZ
2013,Income: Tax revenues,20.5,KGZ
2014,Income: Tax revenues,20.6,KGZ
2015,Income: Tax revenues,19.7,KGZ
2016,Income: Tax revenues,19.7,KGZ
2017,Income: Tax revenues,19.5,KGZ
2018,Income: Tax revenues,20.5,KGZ
2019,Income: Tax revenues,19.6,KGZ
2020,Income: Tax revenues,17.8,KGZ
2016,Income: Contributions / deductions for social needs,0.0,KGZ
2017,Income: Contributions / deductions for social needs,0.5,KGZ
2007,Income: Received official transfers,1.3,KGZ
2008,Income: Received official transfers,0.7,KGZ
2009,Income: Received official transfers,5.1,KGZ
2010,Income: Received official transfers,3.2,KGZ
2011,Income: Received official transfers,3.1,KGZ
2012,Income: Received official transfers,1.8,KGZ
2013,Income: Received official transfers,2.6,KGZ
2014,Income: Received official transfers,2.5,KGZ
2015,Income: Received official transfers,2.2,KGZ
2016,Income: Received official transfers,2.1,KGZ
2017,Income: Received official transfers,2.5,KGZ
2018,Income: Received official transfers,1.6,KGZ
2019,Income: Received official transfers,2.2,KGZ
2020,Income: Received official transfers,2.0,KGZ
2007,Income: Non-tax revenues,5.1,KGZ
2008,Income: Non-tax revenues,4.4,KGZ
2009,Income: Non-tax revenues,4.5,KGZ
2010,Income: Non-tax revenues,5.0,KGZ
2011,Income: Non-tax revenues,5.5,KGZ
2012,Income: Non-tax revenues,5.6,KGZ
2013,Income: Non-tax revenues,5.6,KGZ
2014,Income: Non-tax revenues,6.7,KGZ
2015,Income: Non-tax revenues,8.0,KGZ
2016,Income: Non-tax revenues,5.6,KGZ
2017,Income: Non-tax revenues,5.7,KGZ
2018,Income: Non-tax revenues,4.5,KGZ
2019,Income: Non-tax revenues,5.2,KGZ
2020,Income: Non-tax revenues,5.5,KGZ
2007,Income: Income from sale of non-financial assets,0.3,KGZ
2008,Income: Income from sale of non-financial assets,0.6,KGZ
2009,Income: Income from sale of non-financial assets,0.1,KGZ
2010,Income: Income from sale of non-financial assets,0.3,KGZ
2011,Income: Income from sale of non-financial assets,0.2,KGZ
2012,Income: Income from sale of non-financial assets,0.1,KGZ
2013,Income: Income from sale of non-financial assets,0.0,KGZ
2014,Income: Income from sale of non-financial assets,0.0,KGZ
2015,Income: Income from sale of non-financial assets,0.0,KGZ
2016,Income: Income from sale of non-financial assets,0.0,KGZ
2017,Income: Income from sale of non-financial assets,0.0,KGZ
2018,Income: Income from sale of non-financial assets,0.0,KGZ
2019,Income: Income from sale of non-financial assets,0.0,KGZ
2020,Income: Income from sale of non-financial assets,0.0,KGZ
