Year,Reference area,Degree of urbanisation,GeoCode,Value,M49_country_code
2000,,,,60.521725,KGZ
2001,,,,77.154938,KGZ
2002,,,,51.354687,KGZ
2003,,,,55.244615,KGZ
2004,,,,48.2,KGZ
2005,,,,49.472402,KGZ
2006,,,,47.554172,KGZ
2007,,,,48.479985,KGZ
2008,,,,45.156055,KGZ
2009,,,,40.667524,KGZ
2010,,,,42.315954,KGZ
2011,,,,44.70876,KGZ
2012,,,,51.004239,KGZ
2013,,,,48.629898,KGZ
2014,,,,47.932099,KGZ
2015,,,,50.982902,KGZ
2016,,,,45.6165,KGZ
2017,,,,50.0267,KGZ
2018,,,,46.4,KGZ
2019,,,,46.3,KGZ
2020,,,,45.3,KGZ
2021,,,,46.69,KGZ
2000,,Urban,,69.472742,KGZ
2001,,Urban,,84.06804,KGZ
2002,,Urban,,67.700173,KGZ
2003,,Urban,,59.23848,KGZ
2004,,Urban,,49.4,KGZ
2005,,Urban,,52.267834,KGZ
2006,,Urban,,46.086276,KGZ
2007,,Urban,,46.663125,KGZ
2008,,Urban,,45.363642,KGZ
2009,,Urban,,38.386768,KGZ
2010,,Urban,,44.47285,KGZ
2011,,Urban,,51.442437,KGZ
2012,,Urban,,60.754126,KGZ
2013,,Urban,,48.726107,KGZ
2014,,Urban,,53.02,KGZ
2015,,Urban,,58.534524,KGZ
2016,,Urban,,48.6979,KGZ
2017,,Urban,,55.5006,KGZ
2018,,Urban,,51.6,KGZ
2019,,Urban,,50.6,KGZ
2020,,Urban,,48.2,KGZ
2021,,Urban,,52.52,KGZ
2000,,Rural,,55.809151,KGZ
2001,,Rural,,73.452418,KGZ
2002,,Rural,,42.634369,KGZ
2003,,Rural,,53.092169,KGZ
2004,,Rural,,48.1,KGZ
2005,,Rural,,47.848938,KGZ
2006,,Rural,,48.420366,KGZ
2007,,Rural,,49.514891,KGZ
2008,,Rural,,45.039446,KGZ
2009,,Rural,,41.917619,KGZ
2010,,Rural,,41.073296,KGZ
2011,,Rural,,40.705385,KGZ
2012,,Rural,,45.363875,KGZ
2013,,Rural,,48.57992,KGZ
2014,,Rural,,45.06,KGZ
2015,,Rural,,46.84518,KGZ
2016,,Rural,,43.9253,KGZ
2017,,Rural,,47.0111,KGZ
2018,,Rural,,43.5,KGZ
2019,,Rural,,43.9,KGZ
2020,,Rural,,43.6,KGZ
2021,,Rural,,43.22,KGZ
2000,Batken,,KG05,59.339716,KGZ
2001,Batken,,KG05,61.621051,KGZ
2002,Batken,,KG05,36.961393,KGZ
2003,Batken,,KG05,42.329001,KGZ
2004,Batken,,KG05,37.049508,KGZ
2005,Batken,,KG05,53.54665,KGZ
2006,Batken,,KG05,47.900712,KGZ
2007,Batken,,KG05,30.186768,KGZ
2008,Batken,,KG05,37.443818,KGZ
2009,Batken,,KG05,48.591583,KGZ
2010,Batken,,KG05,42.666903,KGZ
2011,Batken,,KG05,44.064464,KGZ
2012,Batken,,KG05,50.49106,KGZ
2013,Batken,,KG05,62.932382,KGZ
2014,Batken,,KG05,53.56602,KGZ
2015,Batken,,KG05,49.799251,KGZ
2016,Batken,,KG05,52.9718,KGZ
2017,Batken,,KG05,52.4614,KGZ
2018,Batken,,KG05,54.6,KGZ
2019,Batken,,KG05,52.6,KGZ
2020,Batken,,KG05,48.8,KGZ
2021,Batken,,KG05,51.31,KGZ
2000,Jalal-Abad,,KG03,59.287149,KGZ
2001,Jalal-Abad,,KG03,81.005572,KGZ
2002,Jalal-Abad,,KG03,42.498122,KGZ
2003,Jalal-Abad,,KG03,57.011499,KGZ
2004,Jalal-Abad,,KG03,51.655713,KGZ
2005,Jalal-Abad,,KG03,61.433801,KGZ
2006,Jalal-Abad,,KG03,52.669155,KGZ
2007,Jalal-Abad,,KG03,61.234009,KGZ
2008,Jalal-Abad,,KG03,51.475346,KGZ
2009,Jalal-Abad,,KG03,34.357172,KGZ
2010,Jalal-Abad,,KG03,45.552551,KGZ
2011,Jalal-Abad,,KG03,41.458589,KGZ
2012,Jalal-Abad,,KG03,56.178597,KGZ
2013,Jalal-Abad,,KG03,55.445404,KGZ
2014,Jalal-Abad,,KG03,54.779707,KGZ
2015,Jalal-Abad,,KG03,55.904828,KGZ
2016,Jalal-Abad,,KG03,48.1947,KGZ
2017,Jalal-Abad,,KG03,41.1944,KGZ
2018,Jalal-Abad,,KG03,44.0,KGZ
2019,Jalal-Abad,,KG03,38.8,KGZ
2020,Jalal-Abad,,KG03,41.5,KGZ
2021,Jalal-Abad,,KG03,41.31,KGZ
2000,Issyk-Kul,,KG02,65.030908,KGZ
2001,Issyk-Kul,,KG02,78.831057,KGZ
2002,Issyk-Kul,,KG02,60.063825,KGZ
2003,Issyk-Kul,,KG02,52.018784,KGZ
2004,Issyk-Kul,,KG02,40.999171,KGZ
2005,Issyk-Kul,,KG02,46.03717,KGZ
2006,Issyk-Kul,,KG02,49.877805,KGZ
2007,Issyk-Kul,,KG02,50.802119,KGZ
2008,Issyk-Kul,,KG02,54.861606,KGZ
2009,Issyk-Kul,,KG02,44.383158,KGZ
2010,Issyk-Kul,,KG02,43.452039,KGZ
2011,Issyk-Kul,,KG02,41.044025,KGZ
2012,Issyk-Kul,,KG02,36.987697,KGZ
2013,Issyk-Kul,,KG02,39.824088,KGZ
2014,Issyk-Kul,,KG02,42.638658,KGZ
2015,Issyk-Kul,,KG02,46.284209,KGZ
2016,Issyk-Kul,,KG02,45.0267,KGZ
2017,Issyk-Kul,,KG02,51.7617,KGZ
2018,Issyk-Kul,,KG02,49.4,KGZ
2019,Issyk-Kul,,KG02,50.2,KGZ
2020,Issyk-Kul,,KG02,49.7,KGZ
2021,Issyk-Kul,,KG02,52.43,KGZ
2000,Naryn,,KG04,69.421773,KGZ
2001,Naryn,,KG04,83.854909,KGZ
2002,Naryn,,KG04,61.635086,KGZ
2003,Naryn,,KG04,56.394478,KGZ
2004,Naryn,,KG04,64.607909,KGZ
2005,Naryn,,KG04,41.085248,KGZ
2006,Naryn,,KG04,44.647005,KGZ
2007,Naryn,,KG04,54.995283,KGZ
2008,Naryn,,KG04,46.270674,KGZ
2009,Naryn,,KG04,45.332789,KGZ
2010,Naryn,,KG04,53.95726,KGZ
2011,Naryn,,KG04,55.074815,KGZ
2012,Naryn,,KG04,50.991559,KGZ
2013,Naryn,,KG04,49.875233,KGZ
2014,Naryn,,KG04,54.149214,KGZ
2015,Naryn,,KG04,50.007164,KGZ
2016,Naryn,,KG04,52.6105,KGZ
2017,Naryn,,KG04,41.3079,KGZ
2018,Naryn,,KG04,42.5,KGZ
2019,Naryn,,KG04,41.6,KGZ
2020,Naryn,,KG04,46.7,KGZ
2021,Naryn,,KG04,49.27,KGZ
2000,Osh,,KG06,61.998935,KGZ
2001,Osh,,KG06,79.954728,KGZ
2002,Osh,,KG06,54.70914,KGZ
2003,Osh,,KG06,61.826885,KGZ
2004,Osh,,KG06,55.635299,KGZ
2005,Osh,,KG06,53.173236,KGZ
2006,Osh,,KG06,61.102156,KGZ
2007,Osh,,KG06,57.709264,KGZ
2008,Osh,,KG06,50.124177,KGZ
2009,Osh,,KG06,46.700596,KGZ
2010,Osh,,KG06,46.190482,KGZ
2011,Osh,,KG06,47.071675,KGZ
2012,Osh,,KG06,54.141276,KGZ
2013,Osh,,KG06,47.140618,KGZ
2014,Osh,,KG06,33.115,KGZ
2015,Osh,,KG06,37.884188,KGZ
2016,Osh,,KG06,39.4276,KGZ
2017,Osh,,KG06,42.7541,KGZ
2018,Osh,,KG06,41.5,KGZ
2019,Osh,,KG06,36.6,KGZ
2020,Osh,,KG06,36.5,KGZ
2021,Osh,,KG06,31.68,KGZ
2000,Talas,,KG07,63.975403,KGZ
2001,Talas,,KG07,77.544184,KGZ
2002,Talas,,KG07,49.613657,KGZ
2003,Talas,,KG07,57.113622,KGZ
2004,Talas,,KG07,56.048502,KGZ
2005,Talas,,KG07,42.225864,KGZ
2006,Talas,,KG07,48.801285,KGZ
2007,Talas,,KG07,44.743736,KGZ
2008,Talas,,KG07,46.638489,KGZ
2009,Talas,,KG07,39.560145,KGZ
2010,Talas,,KG07,38.135796,KGZ
2011,Talas,,KG07,41.962558,KGZ
2012,Talas,,KG07,42.399891,KGZ
2013,Talas,,KG07,23.469023,KGZ
2014,Talas,,KG07,27.367498,KGZ
2015,Talas,,KG07,28.689411,KGZ
2016,Talas,,KG07,27.3539,KGZ
2017,Talas,,KG07,34.8662,KGZ
2018,Talas,,KG07,36.1,KGZ
2019,Talas,,KG07,37.0,KGZ
2020,Talas,,KG07,29.6,KGZ
2021,Talas,,KG07,35.59,KGZ
2000,Chui,,KG08,46.583904,KGZ
2001,Chui,,KG08,64.318147,KGZ
2002,Chui,,KG08,39.251547,KGZ
2003,Chui,,KG08,39.42033,KGZ
2004,Chui,,KG08,33.925261,KGZ
2005,Chui,,KG08,33.550114,KGZ
2006,Chui,,KG08,27.796785,KGZ
2007,Chui,,KG08,31.993627,KGZ
2008,Chui,,KG08,32.482469,KGZ
2009,Chui,,KG08,35.879613,KGZ
2010,Chui,,KG08,30.869436,KGZ
2011,Chui,,KG08,39.349758,KGZ
2012,Chui,,KG08,35.689813,KGZ
2013,Chui,,KG08,44.223608,KGZ
2014,Chui,,KG08,51.04221,KGZ
2015,Chui,,KG08,52.441412,KGZ
2016,Chui,,KG08,43.6365,KGZ
2017,Chui,,KG08,58.4127,KGZ
2018,Chui,,KG08,41.2,KGZ
2019,Chui,,KG08,56.0,KGZ
2020,Chui,,KG08,54.7,KGZ
2021,Chui,,KG08,55.28,KGZ
2000,Bishkek (city),,KG11,68.003731,KGZ
2001,Bishkek (city),,KG11,85.640504,KGZ
2002,Bishkek (city),,KG11,68.047002,KGZ
2003,Bishkek (city),,KG11,65.35321,KGZ
2004,Bishkek (city),,KG11,47.93348,KGZ
2005,Bishkek (city),,KG11,48.511241,KGZ
2006,Bishkek (city),,KG11,37.044933,KGZ
2007,Bishkek (city),,KG11,40.680531,KGZ
2008,Bishkek (city),,KG11,39.336853,KGZ
2009,Bishkek (city),,KG11,35.924393,KGZ
2010,Bishkek (city),,KG11,39.823376,KGZ
2011,Bishkek (city),,KG11,49.68253,KGZ
2012,Bishkek (city),,KG11,63.775511,KGZ
2013,Bishkek (city),,KG11,43.930005,KGZ
2014,Bishkek (city),,KG11,54.032632,KGZ
2015,Bishkek (city),,KG11,65.190118,KGZ
2016,Bishkek (city),,KG11,49.217,KGZ
2017,Bishkek (city),,KG11,60.2912,KGZ
2018,Bishkek (city),,KG11,51.8,KGZ
2019,Bishkek (city),,KG11,53.7,KGZ
2020,Bishkek (city),,KG11,51.6,KGZ
2021,Bishkek (city),,KG11,61.02,KGZ
2013,Osh (city),,KG21,69.262253,KGZ
2014,Osh (city),,KG21,67.223461,KGZ
2015,Osh (city),,KG21,67.700759,KGZ
2016,Osh (city),,KG21,54.4469,KGZ
2017,Osh (city),,KG21,72.2366,KGZ
2018,Osh (city),,KG21,70.1,KGZ
2019,Osh (city),,KG21,59.3,KGZ
2020,Osh (city),,KG21,47.2,KGZ
2021,Osh (city),,KG21,48.72,KGZ
