Year,Observation-level footnotes,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value,M49_country_code
2014,"According to Multiple Indicator Cluster Survey,2014",,,under 5 years old,,,,,12.9,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,under 5 years old,,,,,11.8,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",Batken,,under 5 years old,,,,KG05,13.6,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",Batken,,under 5 years old,,,,KG05,11.9,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",Jalal-Abad,,under 5 years old,,,,KG03,21.3,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",Jalal-Abad,,under 5 years old,,,,KG03,15.5,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",Issyk-Kul,,under 5 years old,,,,KG02,14.1,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",Issyk-Kul,,under 5 years old,,,,KG02,14.2,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",Naryn,,under 5 years old,,,,KG04,16.4,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",Naryn,,under 5 years old,,,,KG04,6.5,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",Osh,,under 5 years old,,,,KG06,10.6,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",Osh,,under 5 years old,,,,KG06,13.7,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",Talas,,under 5 years old,,,,KG07,11.0,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",Talas,,under 5 years old,,,,KG07,10.0,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",Chui,,under 5 years old,,,,KG08,7.6,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",Chui,,under 5 years old,,,,KG08,10.1,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",Bishkek (city),,under 5 years old,,,,KG11,7.6,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",Bishkek (city),,under 5 years old,,,,KG11,5.9,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",Osh (city),,under 5 years old,,,,KG21,12.1,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",Osh (city),,under 5 years old,,,,KG21,10.9,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,Male,under 5 years old,,,,,13.8,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,Male,under 5 years old,,,,,12.5,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,Female,under 5 years old,,,,,12.0,KGZ
