Year,Reference area,GeoCode,Value,M49_country_code
2007,,,51.9,KGZ
2008,,,55.0,KGZ
2009,,,63.5,KGZ
2010,,,51.3,KGZ
2011,,,54.8,KGZ
2012,,,49.1,KGZ
2013,,,36.0,KGZ
2014,,,50.1,KGZ
2015,,,38.5,KGZ
2016,,,30.3,KGZ
2017,,,31.9,KGZ
2018,,,28.6,KGZ
2019,,,24.8,KGZ
2020,,,38.6,KGZ
2021,,,33.3,KGZ
2007,Batken,KG05,74.8,KGZ
2008,Batken,KG05,66.6,KGZ
2009,Batken,KG05,41.7,KGZ
2010,Batken,KG05,59.7,KGZ
2011,Batken,KG05,66.9,KGZ
2012,Batken,KG05,43.5,KGZ
2013,Batken,KG05,42.0,KGZ
2014,Batken,KG05,108.7,KGZ
2015,Batken,KG05,26.1,KGZ
2016,Batken,KG05,41.9,KGZ
2017,Batken,KG05,51.9,KGZ
2018,Batken,KG05,33.6,KGZ
2019,Batken,KG05,25.8,KGZ
2020,Batken,KG05,42.4,KGZ
2021,Batken,KG05,38.3,KGZ
2007,Jalal-Abad,KG03,32.8,KGZ
2008,Jalal-Abad,KG03,66.6,KGZ
2009,Jalal-Abad,KG03,40.3,KGZ
2010,Jalal-Abad,KG03,31.1,KGZ
2011,Jalal-Abad,KG03,36.5,KGZ
2012,Jalal-Abad,KG03,55.9,KGZ
2013,Jalal-Abad,KG03,33.0,KGZ
2014,Jalal-Abad,KG03,53.7,KGZ
2015,Jalal-Abad,KG03,53.3,KGZ
2016,Jalal-Abad,KG03,33.5,KGZ
2017,Jalal-Abad,KG03,53.6,KGZ
2018,Jalal-Abad,KG03,38.2,KGZ
2019,Jalal-Abad,KG03,37.2,KGZ
2020,Jalal-Abad,KG03,53.2,KGZ
2021,Jalal-Abad,KG03,31.7,KGZ
2007,Issyk-Kul,KG02,89.7,KGZ
2008,Issyk-Kul,KG02,122.9,KGZ
2009,Issyk-Kul,KG02,72.0,KGZ
2010,Issyk-Kul,KG02,70.4,KGZ
2011,Issyk-Kul,KG02,62.6,KGZ
2012,Issyk-Kul,KG02,97.2,KGZ
2013,Issyk-Kul,KG02,37.2,KGZ
2014,Issyk-Kul,KG02,55.3,KGZ
2015,Issyk-Kul,KG02,26.7,KGZ
2016,Issyk-Kul,KG02,34.7,KGZ
2017,Issyk-Kul,KG02,37.0,KGZ
2018,Issyk-Kul,KG02,71.2,KGZ
2019,Issyk-Kul,KG02,28.4,KGZ
2020,Issyk-Kul,KG02,90.6,KGZ
2021,Issyk-Kul,KG02,98.7,KGZ
2007,Naryn,KG04,62.3,KGZ
2008,Naryn,KG04,46.2,KGZ
2009,Naryn,KG04,105.5,KGZ
2010,Naryn,KG04,69.6,KGZ
2011,Naryn,KG04,83.3,KGZ
2012,Naryn,KG04,56.2,KGZ
2013,Naryn,KG04,29.0,KGZ
2014,Naryn,KG04,135.7,KGZ
2015,Naryn,KG04,30.6,KGZ
2016,Naryn,KG04,43.7,KGZ
2018,Naryn,KG04,105.7,KGZ
2019,Naryn,KG04,16.6,KGZ
2020,Naryn,KG04,52.6,KGZ
2021,Naryn,KG04,157.2,KGZ
2007,Osh,KG06,26.0,KGZ
2008,Osh,KG06,54.4,KGZ
2009,Osh,KG06,93.2,KGZ
2010,Osh,KG06,78.6,KGZ
2011,Osh,KG06,62.5,KGZ
2012,Osh,KG06,58.1,KGZ
2013,Osh,KG06,42.8,KGZ
2014,Osh,KG06,43.4,KGZ
2015,Osh,KG06,43.4,KGZ
2016,Osh,KG06,24.9,KGZ
2017,Osh,KG06,25.6,KGZ
2018,Osh,KG06,19.5,KGZ
2019,Osh,KG06,25.5,KGZ
2020,Osh,KG06,24.5,KGZ
2021,Osh,KG06,24.9,KGZ
2007,Talas,KG07,120.3,KGZ
2008,Talas,KG07,51.1,KGZ
2009,Talas,KG07,61.3,KGZ
2010,Talas,KG07,87.0,KGZ
2011,Talas,KG07,40.9,KGZ
2012,Talas,KG07,14.1,KGZ
2013,Talas,KG07,14.8,KGZ
2014,Talas,KG07,44.6,KGZ
2015,Talas,KG07,15.1,KGZ
2019,Talas,KG07,16.6,KGZ
2020,Talas,KG07,69.1,KGZ
2021,Talas,KG07,38.4,KGZ
2007,Chui,KG08,78.3,KGZ
2008,Chui,KG08,34.4,KGZ
2009,Chui,KG08,61.1,KGZ
2010,Chui,KG08,49.5,KGZ
2011,Chui,KG08,69.0,KGZ
2012,Chui,KG08,41.2,KGZ
2013,Chui,KG08,50.4,KGZ
2014,Chui,KG08,44.4,KGZ
2015,Chui,KG08,40.3,KGZ
2016,Chui,KG08,47.9,KGZ
2017,Chui,KG08,22.9,KGZ
2018,Chui,KG08,16.1,KGZ
2019,Chui,KG08,32.5,KGZ
2020,Chui,KG08,32.2,KGZ
2021,Chui,KG08,15.1,KGZ
2007,Bishkek (city),KG11,17.3,KGZ
