Year,Reference area,Sex,Age,GeoCode,Value,M49_country_code
2007,,,,,0.077639,KGZ
2008,,,,,0.103795,KGZ
2009,,,,,0.124661,KGZ
2010,,,,,0.1017,KGZ
2011,,,,,0.107723,KGZ
2012,,,,,0.125562,KGZ
2013,,,,,0.083925,KGZ
2014,,,,,0.104881,KGZ
2015,,,,,0.101567,KGZ
2016,,,,,0.117451,KGZ
2017,,,,,0.128435,KGZ
2018,,,,,0.1297,KGZ
2019,,,,,0.1,KGZ
2020,,,,,0.1,KGZ
2021,,,,,0.126418,KGZ
2007,,Female,,,0.041956,KGZ
2008,,Female,,,0.067162,KGZ
2009,,Female,,,0.064553,KGZ
2010,,Female,,,0.060539,KGZ
2011,,Female,,,0.064473,KGZ
2012,,Female,,,0.105748,KGZ
2013,,Female,,,0.070194,KGZ
2014,,Female,,,0.090885,KGZ
2015,,Female,,,0.091088,KGZ
2016,,Female,,,0.097137,KGZ
2017,,Female,,,0.106527,KGZ
2018,,Female,,,0.097582,KGZ
2019,,Female,,,0.1,KGZ
2020,,Female,,,0.1,KGZ
2021,,Female,,,0.14923,KGZ
2007,,Male,,,0.114296,KGZ
2008,,Male,,,0.14143,KGZ
2009,,Male,,,0.186359,KGZ
2010,,Male,,,0.143928,KGZ
2011,,Male,,,0.152077,KGZ
2012,,Male,,,0.145855,KGZ
2013,,Male,,,0.09797,KGZ
2014,,Male,,,0.119179,KGZ
2015,,Male,,,0.112257,KGZ
2016,,Male,,,0.138147,KGZ
2017,,Male,,,0.150731,KGZ
2018,,Male,,,0.162349,KGZ
2019,,Male,,,0.2,KGZ
2020,,Male,,,0.1,KGZ
2021,,Male,,,0.103269,KGZ
2007,Batken,,,KG05,0.018994,KGZ
2008,Batken,,,KG05,0.037673,KGZ
2009,Batken,,,KG05,0.016262,KGZ
2010,Batken,,,KG05,0.01143,KGZ
2011,Batken,,,KG05,0.024721,KGZ
2012,Batken,,,KG05,0.039661,KGZ
2013,Batken,,,KG05,0.038771,KGZ
2014,Batken,,,KG05,0.071558,KGZ
2015,Batken,,,KG05,0.051375,KGZ
2016,Batken,,,KG05,0.034134,KGZ
2017,Batken,,,KG05,0.051128,KGZ
2018,Batken,,,KG05,0.040436,KGZ
2019,Batken,,,KG05,0.0,KGZ
2020,Batken,,,KG05,0.0,KGZ
2021,Batken,,,KG05,0.03433,KGZ
2007,Batken,Female,,KG05,0.014483,KGZ
2008,Batken,Female,,KG05,0.033537,KGZ
2009,Batken,Female,,KG05,0.004729,KGZ
2010,Batken,Female,,KG05,0.013943,KGZ
2011,Batken,Female,,KG05,0.022821,KGZ
2012,Batken,Female,,KG05,0.040276,KGZ
2013,Batken,Female,,KG05,0.043779,KGZ
2014,Batken,Female,,KG05,0.077046,KGZ
2015,Batken,Female,,KG05,0.062727,KGZ
2016,Batken,Female,,KG05,0.032703,KGZ
2017,Batken,Female,,KG05,0.044051,KGZ
2018,Batken,Female,,KG05,0.035312,KGZ
2019,Batken,Female,,KG05,0.0,KGZ
