Year,Reference area,Sex,GeoCode,Value,M49_country_code
2007,,,,12.090992,KGZ
2008,,,,10.585236,KGZ
2009,,,,10.866987,KGZ
2010,,,,9.159392,KGZ
2011,,,,9.955113,KGZ
2012,,,,10.075772,KGZ
2013,,,,8.0,KGZ
2014,,,,7.5,KGZ
2015,,,,5.9,KGZ
2016,,,,6.0,KGZ
2017,,,,5.3,KGZ
2018,,,,5.139872,KGZ
2019,,,,3.918523,KGZ
2020,,,,1.914845,KGZ
2021,,,,1.793169,KGZ
2007,,Female,,10.26386,KGZ
2008,,Female,,8.088592,KGZ
2009,,Female,,7.22507,KGZ
2010,,Female,,6.597241,KGZ
2011,,Female,,7.700463,KGZ
2012,,Female,,7.084345,KGZ
2013,,Female,,6.4,KGZ
2014,,Female,,5.5,KGZ
2015,,Female,,4.2,KGZ
2016,,Female,,4.5,KGZ
2017,,Female,,4.3,KGZ
2018,,Female,,3.54522,KGZ
2019,,Female,,2.520831,KGZ
2020,,Female,,1.745324,KGZ
2021,,Female,,1.097714,KGZ
2007,,Male,,13.967856,KGZ
2008,,Male,,13.149996,KGZ
2009,,Male,,14.604805,KGZ
2010,,Male,,11.787756,KGZ
2011,,Male,,12.267172,KGZ
2012,,Male,,13.139518,KGZ
2013,,Male,,9.5,KGZ
2014,,Male,,9.5,KGZ
2015,,Male,,7.5,KGZ
2016,,Male,,7.5,KGZ
2017,,Male,,6.2,KGZ
2018,,Male,,6.760797,KGZ
2019,,Male,,5.337712,KGZ
2020,,Male,,2.08189,KGZ
2021,,Male,,2.498928,KGZ
2007,Batken,,KG05,20.180533,KGZ
2008,Batken,,KG05,20.012808,KGZ
2009,Batken,,KG05,11.615832,KGZ
2010,Batken,,KG05,4.57193,KGZ
2011,Batken,,KG05,11.68605,KGZ
2012,Batken,,KG05,8.592769,KGZ
2013,Batken,,KG05,7.1,KGZ
2014,Batken,,KG05,5.7,KGZ
2015,Batken,,KG05,4.9,KGZ
2016,Batken,,KG05,8.6,KGZ
2017,Batken,,KG05,2.6,KGZ
2018,Batken,,KG05,3.080721,KGZ
2019,Batken,,KG05,4.894164,KGZ
2020,Batken,,KG05,1.658051,KGZ
2021,Batken,,KG05,2.348902,KGZ
2007,Batken,Female,KG05,18.345435,KGZ
2008,Batken,Female,KG05,17.247244,KGZ
2009,Batken,Female,KG05,9.457249,KGZ
2010,Batken,Female,KG05,3.253393,KGZ
2011,Batken,Female,KG05,8.215202,KGZ
2012,Batken,Female,KG05,6.264963,KGZ
2013,Batken,Female,KG05,7.0,KGZ
2014,Batken,Female,KG05,5.1,KGZ
2015,Batken,Female,KG05,4.2,KGZ
2016,Batken,Female,KG05,9.0,KGZ
2017,Batken,Female,KG05,2.8,KGZ
2018,Batken,Female,KG05,2.746401,KGZ
2019,Batken,Female,KG05,2.302335,KGZ
2020,Batken,Female,KG05,1.446749,KGZ
2021,Batken,Female,KG05,1.841024,KGZ
2007,Batken,Male,KG05,21.956256,KGZ
2008,Batken,Male,KG05,22.68529,KGZ
2009,Batken,Male,KG05,13.700569,KGZ
2010,Batken,Male,KG05,5.848164,KGZ
2011,Batken,Male,KG05,15.052973,KGZ
2012,Batken,Male,KG05,10.850459,KGZ
2013,Batken,Male,KG05,7.2,KGZ
2014,Batken,Male,KG05,6.2,KGZ
2015,Batken,Male,KG05,5.7,KGZ
2016,Batken,Male,KG05,8.3,KGZ
2017,Batken,Male,KG05,2.3,KGZ
2018,Batken,Male,KG05,3.402904,KGZ
2019,Batken,Male,KG05,7.389891,KGZ
2020,Batken,Male,KG05,1.877412,KGZ
2021,Batken,Male,KG05,2.838268,KGZ
2007,Jalal-Abad,,KG03,5.870303,KGZ
