Year,Reference area,Sex,GeoCode,Value,M49_country_code
2007,,,,1.5,KGZ
2008,,,,1.9,KGZ
2009,,,,1.3,KGZ
2010,,,,0.9,KGZ
2011,,,,1.0,KGZ
2012,,,,1.1,KGZ
2013,,,,0.8,KGZ
2014,,,,0.8,KGZ
2015,,,,0.7,KGZ
2016,,,,0.8,KGZ
2017,,,,0.8,KGZ
2018,,,,0.8,KGZ
2019,,,,0.9,KGZ
2020,,,,0.8,KGZ
2007,,Female,,0.9,KGZ
2008,,Female,,1.4,KGZ
2009,,Female,,0.8,KGZ
2010,,Female,,0.6,KGZ
2011,,Female,,0.4,KGZ
2012,,Female,,0.7,KGZ
2013,,Female,,0.5,KGZ
2014,,Female,,0.3,KGZ
2015,,Female,,0.3,KGZ
2016,,Female,,0.4,KGZ
2017,,Female,,0.4,KGZ
2018,,Female,,0.5,KGZ
2019,,Female,,0.5,KGZ
2020,,Female,,0.6,KGZ
2007,,Male,,2.2,KGZ
2008,,Male,,2.4,KGZ
2009,,Male,,1.8,KGZ
2010,,Male,,1.2,KGZ
2011,,Male,,1.6,KGZ
2012,,Male,,1.6,KGZ
2013,,Male,,1.2,KGZ
2014,,Male,,1.3,KGZ
2015,,Male,,1.2,KGZ
2016,,Male,,1.1,KGZ
2017,,Male,,1.2,KGZ
2018,,Male,,1.1,KGZ
2019,,Male,,1.3,KGZ
2020,,Male,,1.0,KGZ
2007,Batken,,KG05,0.9,KGZ
2008,Batken,,KG05,0.2,KGZ
2009,Batken,,KG05,1.6,KGZ
2011,Batken,,KG05,0.4,KGZ
2013,Batken,,KG05,0.6,KGZ
2014,Batken,,KG05,0.2,KGZ
2015,Batken,,KG05,1.6,KGZ
2016,Batken,,KG05,0.2,KGZ
2017,Batken,,KG05,1.6,KGZ
2018,Batken,,KG05,0.8,KGZ
2019,Batken,,KG05,3.2,KGZ
2020,Batken,,KG05,2.4,KGZ
2009,Batken,Female,KG05,0.9,KGZ
