Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value,M49_country_code
2018,,,,,,,,8.3,KGZ
2019,,,,,,,,8.1,KGZ
2020,,,,,,,,7.6,KGZ
2021,,,,,,,,6.3,KGZ
2018,,Male,,,,,,17.7,KGZ
2019,,Male,,,,,,17.2,KGZ
2020,,Male,,,,,,16.0,KGZ
2021,,Male,,,,,,13.4,KGZ
2018,,Female,,,,,,0.5,KGZ
2019,,Female,,,,,,0.4,KGZ
2020,,Female,,,,,,0.5,KGZ
2021,,Female,,,,,,0.4,KGZ
2018,,,,Urban,,,,6.4,KGZ
2019,,,,Urban,,,,6.2,KGZ
2020,,,,Urban,,,,6.2,KGZ
2021,,,,Urban,,,,5.3,KGZ
2018,,,,Rural,,,,9.5,KGZ
2019,,,,Rural,,,,9.2,KGZ
2020,,,,Rural,,,,8.5,KGZ
2021,,,,Rural,,,,6.9,KGZ
2018,Batken,,,,,,KG05,10.8,KGZ
2019,Batken,,,,,,KG05,10.9,KGZ
2020,Batken,,,,,,KG05,9.8,KGZ
2021,Batken,,,,,,KG05,9.1,KGZ
2018,Jalal-Abad,,,,,,KG03,3.4,KGZ
2019,Jalal-Abad,,,,,,KG03,4.4,KGZ
2020,Jalal-Abad,,,,,,KG03,2.8,KGZ
2021,Jalal-Abad,,,,,,KG03,1.9,KGZ
2018,Issyk-Kul,,,,,,KG02,17.9,KGZ
2019,Issyk-Kul,,,,,,KG02,17.0,KGZ
2020,Issyk-Kul,,,,,,KG02,15.7,KGZ
2021,Issyk-Kul,,,,,,KG02,15.2,KGZ
2018,Naryn,,,,,,KG04,14.7,KGZ
2019,Naryn,,,,,,KG04,13.8,KGZ
2020,Naryn,,,,,,KG04,14.2,KGZ
2021,Naryn,,,,,,KG04,12.7,KGZ
2018,Osh,,,,,,KG06,6.7,KGZ
2019,Osh,,,,,,KG06,6.0,KGZ
2020,Osh,,,,,,KG06,6.2,KGZ
2021,Osh,,,,,,KG06,4.3,KGZ
2018,Talas,,,,,,KG07,13.0,KGZ
2019,Talas,,,,,,KG07,13.7,KGZ
2020,Talas,,,,,,KG07,13.5,KGZ
2021,Talas,,,,,,KG07,13.0,KGZ
2018,Chui,,,,,,KG08,12.2,KGZ
2019,Chui,,,,,,KG08,10.5,KGZ
2020,Chui,,,,,,KG08,9.4,KGZ
2021,Chui,,,,,,KG08,7.8,KGZ
2018,Bishkek (city),,,,,,KG11,6.2,KGZ
2019,Bishkek (city),,,,,,KG11,6.3,KGZ
2020,Bishkek (city),,,,,,KG11,7.3,KGZ
2021,Bishkek (city),,,,,,KG11,5.5,KGZ
2018,Osh (city),,,,,,KG21,1.8,KGZ
2019,Osh (city),,,,,,KG21,1.6,KGZ
2020,Osh (city),,,,,,KG21,1.3,KGZ
2021,Osh (city),,,,,,KG21,1.2,KGZ
2018,,,15 to 24 years old,,,,,0.4,KGZ
2019,,,15 to 24 years old,,,,,0.3,KGZ
2020,,,15 to 24 years old,,,,,0.4,KGZ
2021,,,15 to 24 years old,,,,,0.1,KGZ
2018,,,25 to 54 years old,,,,,10.6,KGZ
2019,,,25 to 54 years old,,,,,10.0,KGZ
2020,,,25 to 54 years old,,,,,9.4,KGZ
2021,,,25 to 54 years old,,,,,7.4,KGZ
2018,,,55 years old and over,,,,,10.0,KGZ
2019,,,55 years old and over,,,,,10.2,KGZ
2020,,,55 years old and over,,,,,9.4,KGZ
2021,,,55 years old and over,,,,,9.0,KGZ
