Year,SERIES,Reference area,GeoCode,Value,M49_country_code
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,94.1,KGZ
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,95.3,KGZ
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,95.4,KGZ
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.5,KGZ
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,95.1,KGZ
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.2,KGZ
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.9,KGZ
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,95.8,KGZ
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.6,KGZ
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.1,KGZ
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,93.4,KGZ
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,94.5,KGZ
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,94.351083,KGZ
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,88.157251,KGZ
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,88.796593,KGZ
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,93.4,KGZ
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,96.8,KGZ
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,95.4,KGZ
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,96.8,KGZ
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,96.7,KGZ
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,98.3,KGZ
