Year,Reference area,Degree of urbanisation,Income or wealth quantile,Education level,Observation-level footnotes,GeoCode,Value,M49_country_code
2018,,,,,,,19.2,KGZ
2019,,,,,,,22.213001,KGZ
2020,,,,,,,22.1,KGZ
2021,,,,,,,20.609252,KGZ
2018,,Urban,,,,,47.5,KGZ
2019,,Urban,,,,,54.058947,KGZ
2020,,Urban,,,,,52.7,KGZ
2021,,Urban,,,,,49.918997,KGZ
2018,,Rural,,,,,3.2,KGZ
2019,,Rural,,,,,4.516183,KGZ
2020,,Rural,,,,,5.0,KGZ
2021,,Rural,,,,,3.234875,KGZ
2018,Batken,,,,,KG05,2.8,KGZ
2019,Batken,,,,,KG05,5.864812,KGZ
2020,Batken,,,,,KG05,4.8,KGZ
2021,Batken,,,,,KG05,5.15599,KGZ
2018,Jalal-Abad,,,,,KG03,15.9,KGZ
2019,Jalal-Abad,,,,,KG03,13.680777,KGZ
2020,Jalal-Abad,,,,,KG03,15.8,KGZ
2021,Jalal-Abad,,,,,KG03,13.633825,KGZ
2018,Issyk-Kul,,,,,KG02,13.6,KGZ
2019,Issyk-Kul,,,,,KG02,12.890062,KGZ
2020,Issyk-Kul,,,,,KG02,13.5,KGZ
2021,Issyk-Kul,,,,,KG02,11.55279,KGZ
2018,Naryn,,,,,KG04,7.1,KGZ
2019,Naryn,,,,,KG04,10.162158,KGZ
2020,Naryn,,,,,KG04,9.6,KGZ
2021,Naryn,,,,,KG04,8.857787,KGZ
2018,Osh,,,,,KG06,1.3,KGZ
2019,Osh,,,,,KG06,2.770504,KGZ
2020,Osh,,,,,KG06,2.7,KGZ
2021,Osh,,,,,KG06,2.011959,KGZ
2018,Talas,,,,,KG07,8.8,KGZ
2019,Talas,,,,,KG07,17.739576,KGZ
2020,Talas,,,,,KG07,14.7,KGZ
2021,Talas,,,,,KG07,15.717645,KGZ
2018,Chui,,,,,KG08,11.1,KGZ
2019,Chui,,,,,KG08,18.259395,KGZ
2020,Chui,,,,,KG08,18.2,KGZ
2021,Chui,,,,,KG08,17.552937,KGZ
2018,Bishkek (city),,,,,KG11,59.9,KGZ
2019,Bishkek (city),,,,,KG11,74.995693,KGZ
2020,Bishkek (city),,,,,KG11,74.0,KGZ
2021,Bishkek (city),,,,,KG11,68.912342,KGZ
2018,Osh (city),,,,,KG21,32.1,KGZ
2019,Osh (city),,,,,KG21,38.304982,KGZ
2020,Osh (city),,,,,KG21,35.1,KGZ
2021,Osh (city),,,,,KG21,31.366,KGZ
2018,,,,Primary education,Education of head houshold,,6.8,KGZ
2018,,,,Lower secondary education,Education of head houshold,,10.5,KGZ
2018,,,,Upper secondary education,Education of head houshold,,11.4,KGZ
2018,,,,Post-secondary non-tertiary education,Education of head houshold,,19.7,KGZ
2018,,,,Tertiary education (Bachelor’s and Master's or equivalent),Education of head houshold,,38.9,KGZ
2018,,,Quintile 1 (poorest),,,,10.0,KGZ
2018,,,Quintile 2,,,,2.6,KGZ
2018,,,Quintile 3,,,,6.1,KGZ
2018,,,Quintile 4,,,,9.3,KGZ
2018,,,Quintile 5 (richest),,,,76.9,KGZ
