Year,SERIES,Value,M49_country_code
2007,"Number of commercial bank branches per 100,000 adults",6.107469,KGZ
2008,"Number of commercial bank branches per 100,000 adults",6.545429,KGZ
2009,"Number of commercial bank branches per 100,000 adults",6.616596,KGZ
2010,"Number of commercial bank branches per 100,000 adults",5.693049,KGZ
2011,"Number of commercial bank branches per 100,000 adults",6.772418,KGZ
2012,"Number of commercial bank branches per 100,000 adults",7.28108,KGZ
2013,"Number of commercial bank branches per 100,000 adults",7.394386,KGZ
2014,"Number of commercial bank branches per 100,000 adults",7.425508,KGZ
2015,"Number of commercial bank branches per 100,000 adults",7.827334,KGZ
2016,"Number of commercial bank branches per 100,000 adults",7.94841,KGZ
2017,"Number of commercial bank branches per 100,000 adults",7.710477,KGZ
2018,"Number of commercial bank branches per 100,000 adults",7.640969,KGZ
2019,"Number of commercial bank branches per 100,000 adults",7.566574,KGZ
2020,"Number of commercial bank branches per 100,000 adults",7.19289,KGZ
2021,"Number of commercial bank branches per 100,000 adults",7.076168,KGZ
2007,"Number of automated teller machines (ATMs) per 100,000 adults",2.471394,KGZ
2008,"Number of automated teller machines (ATMs) per 100,000 adults",4.888003,KGZ
2009,"Number of automated teller machines (ATMs) per 100,000 adults",8.720619,KGZ
2010,"Number of automated teller machines (ATMs) per 100,000 adults",7.554757,KGZ
2011,"Number of automated teller machines (ATMs) per 100,000 adults",12.265008,KGZ
2012,"Number of automated teller machines (ATMs) per 100,000 adults",15.97647,KGZ
2013,"Number of automated teller machines (ATMs) per 100,000 adults",21.075288,KGZ
2014,"Number of automated teller machines (ATMs) per 100,000 adults",25.292345,KGZ
2015,"Number of automated teller machines (ATMs) per 100,000 adults",30.81078,KGZ
2016,"Number of automated teller machines (ATMs) per 100,000 adults",31.891768,KGZ
2017,"Number of automated teller machines (ATMs) per 100,000 adults",34.153303,KGZ
2018,"Number of automated teller machines (ATMs) per 100,000 adults",37.681164,KGZ
2019,"Number of automated teller machines (ATMs) per 100,000 adults",40.105182,KGZ
2020,"Number of automated teller machines (ATMs) per 100,000 adults",42.788471,KGZ
2021,"Number of automated teller machines (ATMs) per 100,000 adults",43.31885,KGZ
