Year,Unit multiplier,SERIES,UNIT_MEASURE,Value,M49_country_code
2010,Units,Number of insurance companies reporting,Number,18.0,KGZ
2011,Units,Number of insurance companies reporting,Number,18.0,KGZ
2012,Units,Number of insurance companies reporting,Number,19.0,KGZ
2013,Units,Number of insurance companies reporting,Number,19.0,KGZ
2014,Units,Number of insurance companies reporting,Number,21.0,KGZ
2015,Units,Number of insurance companies reporting,Number,22.0,KGZ
2016,Units,Number of insurance companies reporting,Number,24.0,KGZ
2017,Units,Number of insurance companies reporting,Number,23.0,KGZ
2018,Units,Number of insurance companies reporting,Number,22.0,KGZ
2019,Units,Number of insurance companies reporting,Number,20.0,KGZ
2020,Units,Number of insurance companies reporting,Number,15.0,KGZ
2021,Units,Number of insurance companies reporting,Number,14.0,KGZ
2010,Millions,Insurance premiums collected,Local currency,477.2,KGZ
2011,Millions,Insurance premiums collected,Local currency,292.9,KGZ
2012,Millions,Insurance premiums collected,Local currency,337.8,KGZ
2013,Millions,Insurance premiums collected,Local currency,405.4,KGZ
2014,Millions,Insurance premiums collected,Local currency,1003.2,KGZ
2015,Millions,Insurance premiums collected,Local currency,967.0,KGZ
2016,Millions,Insurance premiums collected,Local currency,921.3,KGZ
2017,Millions,Insurance premiums collected,Local currency,1004.4,KGZ
2018,Millions,Insurance premiums collected,Local currency,1092.7,KGZ
2019,Millions,Insurance premiums collected,Local currency,1308.1,KGZ
2020,Millions,Insurance premiums collected,Local currency,1308.3,KGZ
2021,Millions,Insurance premiums collected,Local currency,1252.8,KGZ
