Year,COMPOSITE_BREAKDOWN,Value,M49_country_code
2010,,153.6,KGZ
2011,,212.4,KGZ
2012,,217.7,KGZ
2013,,225.5,KGZ
2014,,302.6,KGZ
2015,,304.9,KGZ
2016,,264.3,KGZ
2017,,248.2,KGZ
2018,,283.6,KGZ
2019,,251.6,KGZ
2020,,253.276648,KGZ
2010,Pollutants: Solid,74.5,KGZ
2011,Pollutants: Solid,90.6,KGZ
2012,Pollutants: Solid,90.9,KGZ
2013,Pollutants: Solid,80.0,KGZ
2014,Pollutants: Solid,112.7,KGZ
2015,Pollutants: Solid,121.8,KGZ
2016,Pollutants: Solid,101.3,KGZ
2017,Pollutants: Solid,126.1,KGZ
2018,Pollutants: Solid,91.0,KGZ
2019,Pollutants: Solid,76.5,KGZ
2020,Pollutants: Solid,93.236078,KGZ
2010,Pollutants: Gaseous and liquid,79.0,KGZ
2011,Pollutants: Gaseous and liquid,121.8,KGZ
2012,Pollutants: Gaseous and liquid,126.8,KGZ
2013,Pollutants: Gaseous and liquid,145.6,KGZ
2014,Pollutants: Gaseous and liquid,189.9,KGZ
2015,Pollutants: Gaseous and liquid,183.1,KGZ
2016,Pollutants: Gaseous and liquid,163.0,KGZ
2017,Pollutants: Gaseous and liquid,122.1,KGZ
2018,Pollutants: Gaseous and liquid,192.6,KGZ
2019,Pollutants: Gaseous and liquid,175.1,KGZ
2020,Pollutants: Gaseous and liquid,160.0,KGZ
2010,Pollutants: Sulphur dioxide,39.5,KGZ
2011,Pollutants: Sulphur dioxide,47.0,KGZ
2012,Pollutants: Sulphur dioxide,27.1,KGZ
2013,Pollutants: Sulphur dioxide,63.1,KGZ
2014,Pollutants: Sulphur dioxide,92.3,KGZ
2015,Pollutants: Sulphur dioxide,95.4,KGZ
2016,Pollutants: Sulphur dioxide,80.6,KGZ
2017,Pollutants: Sulphur dioxide,39.0,KGZ
2018,Pollutants: Sulphur dioxide,90.3,KGZ
2019,Pollutants: Sulphur dioxide,75.5,KGZ
2020,Pollutants: Sulphur dioxide,69.0,KGZ
2010,Pollutants: Carbon monoxide,17.0,KGZ
2011,Pollutants: Carbon monoxide,48.4,KGZ
2012,Pollutants: Carbon monoxide,49.8,KGZ
2013,Pollutants: Carbon monoxide,52.3,KGZ
2014,Pollutants: Carbon monoxide,61.5,KGZ
2015,Pollutants: Carbon monoxide,49.9,KGZ
2016,Pollutants: Carbon monoxide,47.1,KGZ
2017,Pollutants: Carbon monoxide,47.1,KGZ
2018,Pollutants: Carbon monoxide,60.7,KGZ
2019,Pollutants: Carbon monoxide,48.0,KGZ
2020,Pollutants: Carbon monoxide,48.5,KGZ
2010,Pollutants: Nitrogen oxide,12.5,KGZ
2011,Pollutants: Nitrogen oxide,15.4,KGZ
2012,Pollutants: Nitrogen oxide,17.6,KGZ
2013,Pollutants: Nitrogen oxide,17.3,KGZ
2014,Pollutants: Nitrogen oxide,21.2,KGZ
2015,Pollutants: Nitrogen oxide,20.0,KGZ
2016,Pollutants: Nitrogen oxide,21.8,KGZ
2017,Pollutants: Nitrogen oxide,19.5,KGZ
2018,Pollutants: Nitrogen oxide,22.8,KGZ
2019,Pollutants: Nitrogen oxide,25.5,KGZ
2020,Pollutants: Nitrogen oxide,22.8,KGZ
