unique_id,col_caption_name,col_caption_name1_empty,year,value,M49_country_code
12_101_,Total,True,2000,65.3,UZB
12_101_,Total,True,2001,68.7,UZB
12_101_,Total,True,2002,69.5,UZB
12_101_,Total,True,2003,70.6,UZB
12_101_,Total,True,2004,73.8,UZB
12_101_,Total,True,2005,73.4,UZB
12_101_,Total,True,2006,77.3,UZB
12_101_,Total,True,2007,76.6,UZB
12_101_,Total,True,2008,77.6,UZB
12_101_,Total,True,2009,77.6,UZB
12_101_,Total,True,2010,78.3,UZB
12_101_,Total,True,2011,79.8,UZB
12_101_,Total,True,2012,83.4,UZB
12_101_,Total,True,2013,84.8,UZB
12_101_,Total,True,2014,82.5,UZB
12_101_,Total,True,2015,82.9,UZB
12_101_,Total,True,2016,83.9,UZB
12_101_,Total,True,2017,84.9,UZB
12_101_,Total,True,2018,84.2,UZB
12_101_,Total,True,2019,87.1,UZB
12_101_,Total,True,2020,86.4,UZB
12_101_,Total,True,2021,0.0,UZB
12_135_,Men,True,2000,65.1,UZB
12_135_,Men,True,2001,68.4,UZB
12_135_,Men,True,2002,69.1,UZB
12_135_,Men,True,2003,70.4,UZB
12_135_,Men,True,2004,73.3,UZB
12_135_,Men,True,2005,72.8,UZB
12_135_,Men,True,2006,77.0,UZB
12_135_,Men,True,2007,76.2,UZB
12_135_,Men,True,2008,77.4,UZB
12_135_,Men,True,2009,77.6,UZB
12_135_,Men,True,2010,77.9,UZB
12_135_,Men,True,2011,79.5,UZB
12_135_,Men,True,2012,83.6,UZB
12_135_,Men,True,2013,84.5,UZB
12_135_,Men,True,2014,82.4,UZB
12_135_,Men,True,2015,82.8,UZB
12_135_,Men,True,2016,83.7,UZB
12_135_,Men,True,2017,84.8,UZB
12_135_,Men,True,2018,83.2,UZB
12_135_,Men,True,2019,86.8,UZB
12_135_,Men,True,2020,86.0,UZB
12_135_,Men,True,2021,0.0,UZB
12_136_,Women,True,2000,65.5,UZB
12_136_,Women,True,2001,69.0,UZB
12_136_,Women,True,2002,70.0,UZB
12_136_,Women,True,2003,70.9,UZB
12_136_,Women,True,2004,74.4,UZB
12_136_,Women,True,2005,74.0,UZB
12_136_,Women,True,2006,77.7,UZB
12_136_,Women,True,2007,77.1,UZB
12_136_,Women,True,2008,77.7,UZB
12_136_,Women,True,2009,77.7,UZB
12_136_,Women,True,2010,78.7,UZB
12_136_,Women,True,2011,80.1,UZB
12_136_,Women,True,2012,83.3,UZB
12_136_,Women,True,2013,85.1,UZB
12_136_,Women,True,2014,82.6,UZB
12_136_,Women,True,2015,83.1,UZB
12_136_,Women,True,2016,84.2,UZB
12_136_,Women,True,2017,85.0,UZB
12_136_,Women,True,2018,88.8,UZB
12_136_,Women,True,2019,87.3,UZB
12_136_,Women,True,2020,86.9,UZB
12_136_,Women,True,2021,0.0,UZB
