unique_id,col_caption_name,col_caption_name1_empty,year,value
01_101_,Total,True,2000,2.7
01_101_,Total,True,2001,2.4
01_101_,Total,True,2002,1.8
01_101_,Total,True,2003,1.4
01_101_,Total,True,2004,4
01_101_,Total,True,2005,4
01_101_,Total,True,2006,4.7
01_101_,Total,True,2007,6.7
01_101_,Total,True,2008,6.1
01_101_,Total,True,2009,5.3
01_101_,Total,True,2010,4.3
01_101_,Total,True,2011,4.9
01_101_,Total,True,2012,4.4
01_101_,Total,True,2013,4.7
01_101_,Total,True,2014,4.4
01_101_,Total,True,2015,5.2
01_101_,Total,True,2016,4
01_101_,Total,True,2017,2.7
01_101_,Total,True,2018,7.3
01_101_,Total,True,2019,3.6
01_101_,Total,True,2020,4
01_101_,Total,True,2021,5
