unique_id,col_caption_name,year,value
02_177_1004,"passenger turnover, billion pass-km: Total",2000,30.9
02_177_1004,"passenger turnover, billion pass-km: Total",2001,31.8
02_177_1004,"passenger turnover, billion pass-km: Total",2002,33.2
02_177_1004,"passenger turnover, billion pass-km: Total",2003,36.3
02_177_1004,"passenger turnover, billion pass-km: Total",2004,40
02_177_1004,"passenger turnover, billion pass-km: Total",2005,46.2
02_177_1004,"passenger turnover, billion pass-km: Total",2006,49.8
02_177_1004,"passenger turnover, billion pass-km: Total",2007,56.9
02_177_1004,"passenger turnover, billion pass-km: Total",2008,64.8
02_177_1004,"passenger turnover, billion pass-km: Total",2009,70.3
02_177_1004,"passenger turnover, billion pass-km: Total",2010,83.8
02_177_1004,"passenger turnover, billion pass-km: Total",2011,92.4
02_177_1004,"passenger turnover, billion pass-km: Total",2012,100.2
02_177_1004,"passenger turnover, billion pass-km: Total",2013,106.9
02_177_1004,"passenger turnover, billion pass-km: Total",2014,113.2
02_177_1004,"passenger turnover, billion pass-km: Total",2015,120.1
02_177_1004,"passenger turnover, billion pass-km: Total",2016,126
02_177_1004,"passenger turnover, billion pass-km: Total",2017,130
02_177_1004,"passenger turnover, billion pass-km: Total",2018,135.3
02_177_1004,"passenger turnover, billion pass-km: Total",2019,140.1
02_177_1004,"passenger turnover, billion pass-km: Total",2020,118.3
02_177_1004,"passenger turnover, billion pass-km: Total",2021,137
02_177_1005,"passenger turnover, billion pass-km: road transport ",2000,23.3
02_177_1005,"passenger turnover, billion pass-km: road transport ",2001,24.3
02_177_1005,"passenger turnover, billion pass-km: road transport ",2002,25.8
02_177_1005,"passenger turnover, billion pass-km: road transport ",2003,29
02_177_1005,"passenger turnover, billion pass-km: road transport ",2004,32.5
02_177_1005,"passenger turnover, billion pass-km: road transport ",2005,38.6
02_177_1005,"passenger turnover, billion pass-km: road transport ",2006,42.2
02_177_1005,"passenger turnover, billion pass-km: road transport ",2007,48.4
02_177_1005,"passenger turnover, billion pass-km: road transport ",2008,55.9
02_177_1005,"passenger turnover, billion pass-km: road transport ",2009,62.1
02_177_1005,"passenger turnover, billion pass-km: road transport ",2010,74.5
02_177_1005,"passenger turnover, billion pass-km: road transport ",2011,82.5
02_177_1005,"passenger turnover, billion pass-km: road transport ",2012,89.3
02_177_1005,"passenger turnover, billion pass-km: road transport ",2013,95.5
02_177_1005,"passenger turnover, billion pass-km: road transport ",2014,101.9
02_177_1005,"passenger turnover, billion pass-km: road transport ",2015,109.1
02_177_1005,"passenger turnover, billion pass-km: road transport ",2016,114.9
02_177_1005,"passenger turnover, billion pass-km: road transport ",2017,117.7
02_177_1005,"passenger turnover, billion pass-km: road transport ",2018,121.6
02_177_1005,"passenger turnover, billion pass-km: road transport ",2019,124.1
02_177_1005,"passenger turnover, billion pass-km: road transport ",2020,113.2
02_177_1005,"passenger turnover, billion pass-km: road transport ",2021,127.9
02_177_1006,"passenger turnover, billion pass-km: railway transport",2000,2.2
02_177_1006,"passenger turnover, billion pass-km: railway transport",2001,2.2
02_177_1006,"passenger turnover, billion pass-km: railway transport",2002,2
02_177_1006,"passenger turnover, billion pass-km: railway transport",2003,2.1
02_177_1006,"passenger turnover, billion pass-km: railway transport",2004,2
02_177_1006,"passenger turnover, billion pass-km: railway transport",2005,2.1
02_177_1006,"passenger turnover, billion pass-km: railway transport",2006,2.1
02_177_1006,"passenger turnover, billion pass-km: railway transport",2007,2.3
02_177_1006,"passenger turnover, billion pass-km: railway transport",2008,2.5
02_177_1006,"passenger turnover, billion pass-km: railway transport",2009,2.6
02_177_1006,"passenger turnover, billion pass-km: railway transport",2010,2.9
02_177_1006,"passenger turnover, billion pass-km: railway transport",2011,3
02_177_1006,"passenger turnover, billion pass-km: railway transport",2012,3.4
02_177_1006,"passenger turnover, billion pass-km: railway transport",2013,3.7
02_177_1006,"passenger turnover, billion pass-km: railway transport",2014,3.8
02_177_1006,"passenger turnover, billion pass-km: railway transport",2015,3.8
02_177_1006,"passenger turnover, billion pass-km: railway transport",2016,4
02_177_1006,"passenger turnover, billion pass-km: railway transport",2017,4.3
02_177_1006,"passenger turnover, billion pass-km: railway transport",2018,4.3
02_177_1006,"passenger turnover, billion pass-km: railway transport",2019,4.4
02_177_1006,"passenger turnover, billion pass-km: railway transport",2020,1.8
02_177_1006,"passenger turnover, billion pass-km: railway transport",2021,3.1
02_177_1007,"passenger turnover, billion pass-km: air transport",2000,3.9
02_177_1007,"passenger turnover, billion pass-km: air transport",2001,3.7
02_177_1007,"passenger turnover, billion pass-km: air transport",2002,3.9
02_177_1007,"passenger turnover, billion pass-km: air transport",2003,4
02_177_1007,"passenger turnover, billion pass-km: air transport",2004,4.5
02_177_1007,"passenger turnover, billion pass-km: air transport",2005,4.6
02_177_1007,"passenger turnover, billion pass-km: air transport",2006,4.7
02_177_1007,"passenger turnover, billion pass-km: air transport",2007,5.4
02_177_1007,"passenger turnover, billion pass-km: air transport",2008,5.6
02_177_1007,"passenger turnover, billion pass-km: air transport",2009,4.9
02_177_1007,"passenger turnover, billion pass-km: air transport",2010,5.8
02_177_1007,"passenger turnover, billion pass-km: air transport",2011,6.2
02_177_1007,"passenger turnover, billion pass-km: air transport",2012,7
02_177_1007,"passenger turnover, billion pass-km: air transport",2013,7.2
02_177_1007,"passenger turnover, billion pass-km: air transport",2014,7
02_177_1007,"passenger turnover, billion pass-km: air transport",2015,6.8
02_177_1007,"passenger turnover, billion pass-km: air transport",2016,6.7
02_177_1007,"passenger turnover, billion pass-km: air transport",2017,7.5
02_177_1007,"passenger turnover, billion pass-km: air transport",2018,8.8
02_177_1007,"passenger turnover, billion pass-km: air transport",2019,11
02_177_1007,"passenger turnover, billion pass-km: air transport",2020,3
02_177_1007,"passenger turnover, billion pass-km: air transport",2021,5.3
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2000,1.5
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2001,1.6
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2002,1.5
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2003,1.2
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2004,1
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2005,0.9
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2006,0.8
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2007,0.8
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2008,0.8
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2009,0.6
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2010,0.6
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2011,0.6
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2012,0.5
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2013,0.5
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2014,0.5
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2015,0.4
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2016,0.4
02_177_1008,"passenger turnover, billion pass-km: urban electric transport",2017,0.5
